FIPS Code,County Name,State,Median Household Income 2018,Unemployment Rate 2018,Population 2018,Education Percent 2018,Poverty Percent 2018,Pop per Sq Mile,Average HH Size
1001,Autauga County,AL,59338,3.6,55533,27.7,13.8,94.2,2.68
1003,Baldwin County,AL,57588,3.6,217855,31.3,9.8,130.9,2.46
1005,Barbour County,AL,34382,5.1,24872,12.2,30.9,29.4,2.47
1007,Bibb County,AL,46064,3.9,22367,11.5,21.8,36.7,2.6
1009,Blount County,AL,50412,3.5,57771,12.6,13.2,89.1,2.63
1011,Bullock County,AL,29267,4.6,10174,13.3,42.5,17.1,2.46
1013,Butler County,AL,37365,4.7,19631,16.1,24.5,26.3,2.43
1015,Calhoun County,AL,45400,4.6,114331,18,19.5,190.6,2.44
1017,Chambers County,AL,39917,3.8,33600,13.2,18.7,57,2.42
1019,Cherokee County,AL,42132,3.5,26014,12.9,16.3,42.8,2.42
1021,Chilton County,AL,47547,3.6,44163,14.2,17.3,63.9,2.61
1023,Choctaw County,AL,39907,5.4,12833,13,22.1,14.3,2.34
1025,Clarke County,AL,40741,7.4,23918,12.6,22.8,20,2.47
1027,Clay County,AL,39201,3.8,13294,10.2,17.6,23,2.41
1029,Cleburne County,AL,46495,4.2,15010,13.7,16,26.9,2.51
1031,Coffee County,AL,55122,3.9,51950,23.4,13.8,76.3,2.49
1033,Colbert County,AL,49055,4.5,55004,18.7,13.8,89,2.37
1035,Conecuh County,AL,32613,5.1,12292,10.7,24.4,14.8,2.34
1037,Coosa County,AL,42423,4.1,10643,11.6,18.9,16.1,2.38
1039,Covington County,AL,40203,4.5,36953,14.9,19.9,36.1,2.39
1041,Crenshaw County,AL,39057,4,13825,15.6,19.5,23.1,2.44
1043,Cullman County,AL,45796,3.2,83418,13.7,14.5,111.7,2.49
1045,Dale County,AL,45309,4.1,49143,17,16.2,89.7,2.46
1047,Dallas County,AL,34035,6.4,38294,15.1,31.4,43.5,2.52
1049,DeKalb County,AL,39491,3.8,71407,12.7,21.3,92.6,2.62
1051,Elmore County,AL,60367,3.4,81011,24.5,11.2,127,2.61
1053,Escambia County,AL,38418,4.5,36524,12.7,23.6,40.3,2.48
1055,Etowah County,AL,44903,4,102611,17.7,17.5,187.7,2.43
1057,Fayette County,AL,39254,4,16445,12.9,23.5,26.8,2.39
1059,Franklin County,AL,39388,3.7,31298,12.9,19.2,49.3,2.56
1061,Geneva County,AL,37823,3.9,26306,11.1,21.3,46.6,2.43
1063,Greene County,AL,28524,6.6,8209,10.1,30.1,13.8,2.39
1065,Hale County,AL,34724,5,14749,14.1,25.6,23,2.46
1067,Henry County,AL,46027,4.4,17173,18,17.9,31.1,2.45
1069,Houston County,AL,47993,4,104770,21,16.5,182.5,2.44
1071,Jackson County,AL,41929,4,51621,14.2,19.7,47.2,2.45
1073,Jefferson County,AL,55013,3.7,659429,32.4,16.1,602.6,2.44
1075,Lamar County,AL,40936,3.7,13882,12.5,17.4,23.6,2.35
1077,Lauderdale County,AL,48707,4.1,92604,23.9,14,129.4,2.35
1079,Lawrence County,AL,43909,4.1,32941,11.7,19.3,47.1,2.5
1081,Lee County,AL,48937,3.6,163656,34.1,19,260.2,2.44
1083,Limestone County,AL,64863,3.5,96177,25.5,11.4,151.9,2.54
1085,Lowndes County,AL,33973,7.2,9974,14.1,25.1,14.9,2.57
1087,Macon County,AL,32495,5.3,18321,20.7,30.2,32.4,2.32
1089,Madison County,AL,63755,3.4,367004,41.7,11.9,452,2.43
1091,Marengo County,AL,37733,4.9,19056,15.4,24,20.6,2.43
1093,Marion County,AL,37887,4,29750,13.1,20.2,41,2.36
1095,Marshall County,AL,46233,3.3,96170,19.2,18.3,152.6,2.57
1097,Mobile County,AL,43598,4.6,413908,22.9,20.8,337.2,2.56
1099,Monroe County,AL,39556,6,21062,14.1,21.9,22.9,2.48
1101,Montgomery County,AL,49640,3.9,226504,32.1,20.1,291.5,2.45
1103,Morgan County,AL,52797,3.4,119203,21.7,13.2,200.2,2.5
1105,Perry County,AL,26814,6.4,9070,15.7,35.3,13.9,2.5
1107,Pickens County,AL,37586,4.5,19980,13.5,23.1,23.3,2.42
1109,Pike County,AL,37259,4.5,33242,23.6,23.6,50,2.34
1111,Randolph County,AL,40546,4,22727,14.9,19.7,39.4,2.46
1113,Russell County,AL,39104,4,57784,16.5,21.7,91.2,2.47
1115,St. Clair County,AL,57284,3.4,88654,16.5,12,135.9,2.58
1117,Shelby County,AL,75663,2.8,215583,42.1,8,266.8,2.6
1119,Sumter County,AL,27859,5.7,12634,21.8,34.7,14.9,2.32
1121,Talladega County,AL,41630,4.2,80137,14.3,19.3,107,2.48
1123,Tallapoosa County,AL,42205,4.1,40535,18.3,19.7,54.6,2.42
1125,Tuscaloosa County,AL,52557,3.6,208319,30.3,16.8,155.6,2.42
