FIPStxt,PCTPOVALL_2018
0,13.1
1000,16.8
1001,13.8
1003,9.8
1005,30.9
1007,21.8
1009,13.2
1011,42.5
1013,24.5
1015,19.5
1017,18.7
1019,16.3
1021,17.3
1023,22.1
1025,22.8
1027,17.6
1029,16
1031,13.8
1033,13.8
1035,24.4
1037,18.9
1039,19.9
1041,19.5
1043,14.5
1045,16.2
1047,31.4
1049,21.3
1051,11.2
1053,23.6
1055,17.5
1057,23.5
1059,19.2
1061,21.3
1063,30.1
1065,25.6
1067,17.9
1069,16.5
1071,19.7
1073,16.1
1075,17.4
1077,14
1079,19.3
1081,19
1083,11.4
1085,25.1
1087,30.2
1089,11.9
1091,24
1093,20.2
1095,18.3
1097,20.8
1099,21.9
1101,20.1
1103,13.2
1105,35.3
1107,23.1
1109,23.6
1111,19.7
1113,21.7
1115,12
1117,8
1119,34.7
1121,19.3
1123,19.7
1125,16.8
1127,17.9
1129,17.6
1131,33.4
1133,18.6
2000,11.1
2013,15.5
2016,10
2020,9.5
2050,32.7
2060,11.2
2068,6.9
2070,22
2090,8.6
2100,10.5
2105,17.2
2110,7.3
2122,12.4
2130,9.1
2150,8.2
2158,35.1
2164,18.2
2170,10.4
2180,22
2185,11.1
2188,21.1
2195,7.2
2198,16.5
2220,7.7
2230,4.3
2240,13.4
2261,9.7
2275,11.6
2282,13.1
2290,23.7
4000,14.1
4001,37.3
4003,15.1
4005,15.9
4007,20.4
4009,20.2
4011,10.5
4012,23.7
4013,12.3
4015,16.8
4017,28.5
4019,16.2
4021,12.9
4023,24.4
4025,13.2
4027,19.5
5000,16.8
5001,17.9
5003,19.6
5005,15.1
5007,8.6
5009,14.8
5011,21.7
5013,15.7
5015,16.1
5017,31.4
5019,19.9
5021,20.7
5023,14.6
5025,15.5
5027,22.4
5029,17.9
5031,17.9
5033,16
5035,19.2
5037,18
5039,21.3
5041,24.3
5043,19.5
5045,15.4
5047,18.3
5049,20.6
5051,20.4
5053,13.1
5055,16.5
5057,20.6
5059,18.7
5061,17.3
5063,14.5
5065,18.7
