FIPS,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
1001,1,54571.00,26569.00,28002.00,37.00,35.90,37.90
1001,2,54597.00,26584.00,28013.00,37.00,35.90,37.80
1001,3,54773.00,26672.00,28101.00,37.10,36.00,37.90
1001,4,55227.00,26981.00,28246.00,37.30,36.20,38.40
1001,5,54954.00,26826.00,28128.00,37.70,36.40,38.80
1001,6,54727.00,26581.00,28146.00,38.10,36.80,39.10
1001,7,54893.00,26788.00,28105.00,38.20,36.80,39.50
1001,8,54864.00,26728.00,28136.00,38.60,37.20,39.80
1001,9,55243.00,26970.00,28273.00,38.70,37.20,40.00
1001,10,55390.00,27010.00,28380.00,38.80,37.40,40.10
1001,11,55533.00,27006.00,28527.00,39.10,37.70,40.50
1001,12,55869.00,27092.00,28777.00,39.30,37.90,40.70
1003,1,182265.00,89196.00,93069.00,41.10,40.10,42.20
1003,2,182265.00,89196.00,93069.00,41.10,40.10,42.20
1003,3,183112.00,89620.00,93492.00,41.20,40.10,42.20
1003,4,186558.00,91190.00,95368.00,41.40,40.40,42.40
1003,5,190145.00,92697.00,97448.00,41.70,40.70,42.60
1003,6,194885.00,95092.00,99793.00,41.90,40.90,42.90
1003,7,199183.00,97156.00,102027.00,42.20,41.10,43.20
1003,8,202939.00,98892.00,104047.00,42.40,41.30,43.50
1003,9,207601.00,100969.00,106632.00,42.80,41.70,43.80
1003,10,212521.00,103218.00,109303.00,43.10,41.90,44.10
1003,11,217855.00,105702.00,112153.00,43.30,42.10,44.50
1003,12,223234.00,108247.00,114987.00,43.60,42.30,44.90
1005,1,27457.00,14576.00,12881.00,39.00,37.20,41.60
1005,2,27455.00,14576.00,12879.00,39.00,37.20,41.60
1005,3,27327.00,14504.00,12823.00,39.10,37.30,41.60
1005,4,27341.00,14657.00,12684.00,39.40,37.40,42.20
1005,5,27169.00,14540.00,12629.00,39.70,37.60,42.60
1005,6,26937.00,14379.00,12558.00,39.80,37.70,42.70
1005,7,26755.00,14246.00,12509.00,39.90,37.80,42.60
1005,8,26283.00,13971.00,12312.00,40.00,38.00,43.10
1005,9,25806.00,13626.00,12180.00,40.30,38.20,43.40
1005,10,25157.00,13230.00,11927.00,40.90,38.70,44.30
1005,11,24872.00,13148.00,11724.00,40.90,38.60,44.70
1005,12,24686.00,13064.00,11622.00,40.90,38.70,44.80
1007,1,22915.00,12301.00,10614.00,37.80,36.50,39.50
1007,2,22915.00,12303.00,10612.00,37.80,36.50,39.50
1007,3,22870.00,12262.00,10608.00,38.00,36.60,39.70
1007,4,22745.00,12270.00,10475.00,38.40,36.80,40.40
1007,5,22667.00,12211.00,10456.00,38.80,37.20,41.00
1007,6,22521.00,12109.00,10412.00,39.20,37.50,41.40
1007,7,22553.00,12145.00,10408.00,39.50,37.60,41.90
1007,8,22566.00,12109.00,10457.00,39.70,37.80,42.10
1007,9,22586.00,12070.00,10516.00,39.70,37.80,42.30
1007,10,22550.00,12056.00,10494.00,39.70,37.90,42.30
1007,11,22367.00,11900.00,10467.00,39.90,38.20,42.50
1007,12,22394.00,11929.00,10465.00,40.00,38.20,42.60
1009,1,57322.00,28362.00,28960.00,39.00,38.00,40.00
1009,2,57322.00,28361.00,28961.00,39.00,38.00,40.00
1009,3,57376.00,28385.00,28991.00,39.10,38.10,40.10
1009,4,57560.00,28446.00,29114.00,39.30,38.30,40.30
1009,5,57580.00,28429.00,29151.00,39.60,38.70,40.60
1009,6,57619.00,28436.00,29183.00,40.00,39.20,40.80
1009,7,57526.00,28371.00,29155.00,40.50,39.60,41.30
1009,8,57526.00,28348.00,29178.00,40.70,39.70,41.70
1009,9,57494.00,28287.00,29207.00,40.80,39.80,41.80
1009,10,57787.00,28449.00,29338.00,40.80,39.80,41.70
1009,11,57771.00,28435.00,29336.00,40.90,39.90,41.80
1009,12,57826.00,28472.00,29354.00,41.00,40.10,42.00
10011,1,10914.00,5912.00,5002.00,38.50,37.70,39.70
10011,2,10911.00,5911.00,5000.00,38.50,37.70,39.70
10011,3,10876.00,5881.00,4995.00,38.50,37.60,39.60
10011,4,10675.00,5767.00,4908.00,38.80,37.80,40.20
10011,5,10606.00,5775.00,4831.00,39.10,38.10,40.70
10011,6,10549.00,5744.00,4805.00,39.30,38.20,41.40
10011,7,10663.00,5828.00,4835.00,39.30,37.90,41.60
10011,8,10400.00,5642.00,4758.00,39.60,38.20,42.10
10011,9,10389.00,5653.00,4736.00,39.50,38.10,41.70
10011,10,10176.00,5514.00,4662.00,39.50,38.10,41.60
10011,11,10174.00,5535.00,4639.00,39.40,38.00,41.60
10011,12,10101.00,5508.00,4593.00,39.50,38.00,41.80
10013,1,20947.00,9838.00,11109.00,40.10,37.70,41.90
10013,2,20940.00,9834.00,11106.00,40.10,37.70,41.90
10013,3,20932.00,9837.00,11095.00,40.10,37.70,41.90
10013,4,20866.00,9810.00,11056.00,40.20,37.70,42.30
10013,5,20670.00,9680.00,10990.00,40.20,37.90,42.30
10013,6,20356.00,9477.00,10879.00,40.70,38.10,42.80
10013,7,20327.00,9441.00,10886.00,40.60,38.30,42.70
10013,8,20162.00,9396.00,10766.00,40.80,38.40,43.00
10013,9,20012.00,9310.00,10702.00,41.00,38.20,43.30
10013,10,19888.00,9289.00,10599.00,41.20,38.30,43.50
10013,11,19631.00,9140.00,10491.00,41.70,38.50,44.20
10013,12,19448.00,9024.00,10424.00,42.10,38.80,44.60
10015,1,118572.00,57176.00,61396.00,38.20,36.50,39.60
10015,2,118526.00,57149.00,61377.00,38.20,36.50,39.60
10015,3,118408.00,57096.00,61312.00,38.30,36.60,39.80
10015,4,117744.00,56626.00,61118.00,38.70,36.90,40.20
10015,5,117190.00,56371.00,60819.00,38.90,37.20,40.40
10015,6,116471.00,56132.00,60339.00,39.00,37.40,40.70
10015,7,115917.00,55731.00,60186.00,39.20,37.60,40.90
10015,8,115469.00,55532.00,59937.00,39.50,37.80,41.00
10015,9,114973.00,55284.00,59689.00,39.60,37.90,41.20
10015,10,114710.00,55146.00,59564.00,39.80,38.20,41.40
10015,11,114331.00,54941.00,59390.00,39.90,38.30,41.50
10015,12,113605.00,54481.00,59124.00,40.20,38.50,41.70
10017,1,34215.00,16363.00,17852.00,41.50,39.80,43.40
10017,2,34169.00,16341.00,17828.00,41.50,39.80,43.40
10017,3,34122.00,16317.00,17805.00,41.70,39.90,43.50
10017,4,34033.00,16222.00,17811.00,41.90,40.30,43.50
10017,5,34104.00,16272.00,17832.00,41.90,40.30,43.50
10017,6,34139.00,16353.00,17786.00,42.10,40.40,43.50
10017,7,33977.00,16287.00,17690.00,42.40,40.60,43.80
10017,8,33996.00,16352.00,17644.00,42.50,40.60,44.10
10017,9,33745.00,16183.00,17562.00,42.70,40.90,44.20
10017,10,33707.00,16152.00,17555.00,42.50,40.70,44.10
10017,11,33600.00,16087.00,17513.00,42.80,41.00,44.40
10017,12,33254.00,15895.00,17359.00,43.10,41.10,44.80
10019,1,25989.00,12888.00,13101.00,43.90,43.10,44.90
10019,2,25979.00,12884.00,13095.00,43.90,43.10,44.90
10019,3,25963.00,12882.00,13081.00,44.00,43.20,44.90
10019,4,25989.00,12901.00,13088.00,44.30,43.60,45.00
10019,5,25958.00,12939.00,13019.00,44.70,43.90,45.50
10019,6,26017.00,12945.00,13072.00,45.00,44.20,45.70
10019,7,25895.00,12893.00,13002.00,45.30,44.50,46.10
10019,8,25732.00,12793.00,12939.00,45.90,45.20,46.70
10019,9,25768.00,12790.00,12978.00,46.10,45.40,47.00
10019,10,25805.00,12821.00,12984.00,46.50,45.80,47.40
10019,11,26014.00,12879.00,13135.00,47.00,46.20,47.70
10019,12,26196.00,12926.00,13270.00,47.40,46.80,48.00
10021,1,43643.00,21608.00,22035.00,37.60,36.70,38.50
10021,2,43632.00,21604.00,22028.00,37.50,36.70,38.50
10021,3,43653.00,21603.00,22050.00,37.60,36.80,38.50
10021,4,43689.00,21483.00,22206.00,38.00,37.40,38.70
