FIPS,POP_SQMI,AVE_HH_SZ
1001,94.2,2.68
1003,130.9,2.46
1005,29.4,2.47
1007,36.7,2.6
1009,89.1,2.63
1011,17.1,2.46
1013,26.3,2.43
1015,190.6,2.44
1017,57,2.42
1019,42.8,2.42
1021,63.9,2.61
1023,14.3,2.34
1025,20,2.47
1027,23,2.41
1029,26.9,2.51
1031,76.3,2.49
1033,89,2.37
1035,14.8,2.34
1037,16.1,2.38
1039,36.1,2.39
1041,23.1,2.44
1043,111.7,2.49
1045,89.7,2.46
1047,43.5,2.52
1049,92.6,2.62
1051,127,2.61
1053,40.3,2.48
1055,187.7,2.43
1057,26.8,2.39
1059,49.3,2.56
1061,46.6,2.43
1063,13.8,2.39
1065,23,2.46
1067,31.1,2.45
1069,182.5,2.44
1071,47.2,2.45
1073,602.6,2.44
1075,23.6,2.35
1077,129.4,2.35
1079,47.1,2.5
1081,260.2,2.44
1083,151.9,2.54
1085,14.9,2.57
1087,32.4,2.32
1089,452,2.43
1091,20.6,2.43
1093,41,2.36
1095,152.6,2.57
1097,337.2,2.56
1099,22.9,2.48
1101,291.5,2.45
1103,200.2,2.5
1105,13.9,2.5
1107,23.3,2.42
1109,50,2.34
1111,39.4,2.46
1113,91.2,2.47
1115,135.9,2.58
1117,266.8,2.6
1119,14.9,2.32
1121,107,2.48
1123,54.6,2.42
1125,155.6,2.42
1127,81.7,2.49
1129,16.4,2.58
1131,13.1,2.58
1133,38.4,2.38
2013,0.4,2.56
2016,1.5,2.49
2020,175,2.64
2050,0.4,3.59
2060,1.7,2.32
2068,0.1,2.22
2070,0.3,3.07
2090,14.1,2.56
2100,1,2.18
2105,0.3,2.35
2110,12.1,2.49
2122,3.4,2.42
2130,2.9,2.49
2150,2.1,2.86
2158,0.4,4.27
2164,0.1,2.88
2170,4.3,2.75
2180,0.4,3.29
2185,0.1,3.34
2188,0.2,3.72
2195,1.1,2.36
2198,1.5,2.51
2220,3.2,2.43
2230,2.2,2.15
2240,0.3,2.59
2261,0.3,2.38
2275,0.9,2.23
2282,0.1,2.39
2290,0,2.51
4001,6.4,3.1
4003,20.9,2.46
4005,7.8,2.69
4007,11.4,2.39
4009,8.2,3.01
4011,5.1,2.64
4012,4.4,2.19
4013,475.6,2.67
4015,15.7,2.39
4017,10.9,2.95
4019,113.2,2.46
4021,79.4,2.78
4023,37.9,3.05
4025,28.8,2.28
4027,37.4,2.93
5001,17.7,2.35
5003,22.2,2.47
5005,71.9,2.18
5007,303.2,2.67
5009,62.8,2.41
5011,17.1,2.42
5013,8.5,2.3
5015,44,2.39
5017,16.3,2.42
5019,26,2.32
5021,24.2,2.33
5023,43.4,2.31
5025,14.9,2.53
5027,31.7,2.38
5029,37.2,2.48
5031,154.5,2.49
5033,105.5,2.62
5035,78.2,2.64
5037,27.9,2.52
5039,11.8,2.35
5041,16,2.43
5043,23.1,2.41
5045,184.7,2.56
5047,29.2,2.51
5049,19.7,2.32
5051,134.6,2.29
5053,29.1,2.55
5055,78.3,2.53
5057,30.1,2.52
5059,53.7,2.48
5061,22.7,2.54
5063,48.8,2.48
5065,23.3,2.26
5067,27.3,2.38
5069,82.8,2.49
5071,39.1,2.55
5073,14.1,2.39
5075,28.8,2.42
5077,16.4,2.39
5079,24,2.54
5081,22.5,2.41
5083,30.6,2.5
5085,92.1,2.68
5087,19.9,2.53
5089,26.6,2.23
5091,69.5,2.44
5093,48,2.58
5095,12.1,2.32
5097,12.3,2.34
5099,14.8,2.39
5101,10.1,2.32
5103,33.4,2.34
5105,18.2,2.47
5107,29,2.53
5109,18.8,2.49
5111,32.2,2.49
5113,23.7,2.43
5115,78.3,2.5
5117,12.3,2.33
5119,496.9,2.36
5121,27.1,2.41
5123,43.8,2.51
5125,164.3,2.55
5127,12.8,2.55
5129,12,2.27
5131,239.8,2.49
5133,29.8,2.83
5135,28.6,2.32
5137,21.1,2.3
5139,38.6,2.43
5141,24.8,2.3
5143,245.9,2.56
5145,77.5,2.52
5147,11.4,2.28
5149,23.6,2.66
6001,2211.2,2.7
6003,1.4,2.32
6005,64.6,2.3
6007,138.5,2.45
6009,44.7,2.39
6011,19.6,3
6013,1505.2,2.77
6015,27.3,2.5
6017,109,2.55
6019,165.9,3.15
6021,21.8,2.84
6023,39.3,2.31
6025,40.8,3.34
6027,1.8,2.25
6029,110.6,3.15
6031,110.6,3.19
6033,51.1,2.39
6035,7.1,2.5
6037,2517.4,2.98
6039,72.5,3.28
6041,497.4,2.36
6043,12.5,2.28
6045,25.6,2.46
6047,137.7,3.32
6049,2.4,2.3
6051,4.5,2.42
6053,130.7,3.15
6055,181.2,2.69
6057,105.2,2.35
6059,4072.3,2.99
6061,260.1,2.6
6063,8,2.2
6065,332,3.14
6067,1539.3,2.71
6069,43.2,3.27
6071,108.1,3.26
6073,789.4,2.75
6075,18537.2,2.26
6077,527,3.12
6079,86.7,2.48
6081,1663.4,2.75
6083,163.8,2.86
6085,1509.6,2.9
6087,622.8,2.66
6089,47.4,2.48
6091,3.2,2.16
6093,7.1,2.28
6095,495.3,2.83
6097,312.7,2.55
6099,359.7,3.08
6101,160.8,2.98
6103,22,2.63
6105,4.1,2.2
6107,96.9,3.36
6109,24.6,2.3
6111,464.9,3.04
6113,214.8,2.74
6115,119.2,2.92
8001,428.2,2.85
8003,23.6,2.45
8005,797.5,2.53
8007,9.8,2.27
8009,1.5,2.2
8011,4.1,2.34
8013,451,2.39
8014,2115.7,2.6
8015,19.6,2.15
8017,1,2.28
8019,23.8,2.14
8021,6.4,2.64
8023,3.1,2.27
8025,7.2,2.41
8027,6.6,2.13
8029,27.5,2.38
8031,4621.2,2.22
8033,1.9,2.3
8035,412,2.79
8037,33.8,2.71
8039,14,2.75
8041,334.5,2.56
8043,31.3,2.3
8045,20.8,2.73
8047,39.9,2.19
8049,8.3,2.26
8051,5.2,2.22
8053,0.8,2.17
8055,4.5,2.09
8057,0.9,2.14
8059,758.3,2.42
8061,0.8,2.24
8063,3.8,2.37
8065,21.5,2.43
8067,34,2.35
8069,133.6,2.42
8071,3.3,2.29
8073,2.2,2.28
8075,12.3,2.34
8077,46.8,2.46
8079,0.9,2.01
8081,3,2.51
8083,13.5,2.4
8085,19.3,2.47
8087,22.4,2.68
8089,14.7,2.38
8091,9.1,2.19
8093,7.9,2.25
8095,6.9,2.41
8097,19,2.09
8099,7.3,2.48
8101,69.4,2.46
8103,2.1,2.43
8105,13.9,2.47
8107,10.7,2.34
8109,2,2.31
8111,1.8,2.03
8113,6.3,2.13
8115,4.5,2.14
8117,49.7,2.36
8119,45.9,2.37
8121,2,2.34
8123,76.5,2.76
8125,4.4,2.49
9001,1486,2.68
9003,1204.7,2.47
9005,196.9,2.44
9007,435.8,2.39
9009,1404.9,2.49
9011,401.7,2.44
9013,369.2,2.51
9015,226.1,2.54
10001,301.7,2.62
10003,1317.1,2.57
10005,250.6,2.45
11001,11073.2,2.11
12001,273.8,2.32
12003,49.4,2.82
12005,234.5,2.41
12007,91.3,2.53
12009,552.2,2.33
12011,1552.8,2.52
12013,25.7,2.52
12015,253.4,2.14
12017,233.6,2.2
12019,330.6,2.76
12021,179.9,2.38
12023,87.5,2.52
12027,57.6,2.71
12029,23.8,2.37
12031,1123.5,2.47
12033,482.6,2.41
12035,222.3,2.42
12037,21.4,2.29
12039,89.1,2.61
12041,50,2.58
12043,13.8,2.52
12045,28.2,2.33
12047,28.3,2.54
12049,45.5,3.12
12051,33.6,3.09
12053,379.6,2.38
12055,93.3,2.28
12057,1324.4,2.55
12059,41.4,2.47
12061,295.1,2.26
12063,52.3,2.4
12065,23.7,2.38
12067,15.5,2.63
12069,298.7,2.42
12071,878.8,2.35
12073,414.8,2.35
12075,36.8,2.45
12077,11.1,2.57
12079,26.6,2.48
12081,510,2.34
12083,214.8,2.35
12085,236.7,2.23
12086,1379.3,2.83
12087,72.7,2.18
12089,124.5,2.53
12091,211.6,2.43
12093,46.2,2.68
12095,1343.4,2.64
12097,227.5,2.93
12099,652.1,2.39
12101,683.3,2.42
12103,3322,2.16
12105,332,2.59
12107,91.5,2.48
12109,371.1,2.49
12111,532.2,2.53
12113,169.5,2.59
12115,718.9,2.13
12117,1347.4,2.55
12119,225.9,2.04
12121,64,2.52
12123,21.3,2.44
12125,65.6,2.66
12127,439.2,2.31
12129,53.7,2.61
12131,61.3,2.38
12133,40.8,2.5
13001,35.9,2.56
13003,27.9,2.8
13005,40.4,2.56
13007,9.7,2.52
13009,173.3,2.45
13011,81,2.75
13013,486.9,2.88
13015,224.4,2.77
13017,68.6,2.55
13019,42.6,2.57
13021,604.8,2.48
13023,60.8,2.49
13025,42,2.66
13027,32.2,2.52
13029,86,2.81
13031,110.1,2.56
13033,29.8,2.7
13035,130.5,2.7
13037,24,2.49
13039,82.6,2.69
13043,44.1,2.65
13045,233.9,2.73
13047,415.4,2.59
13049,16,2.64
13051,616,2.45
13053,43.5,2.98
13055,81.2,2.52
13057,580.7,2.8
13059,1063.9,2.37
13061,13.9,2.35
13063,1928.3,2.82
13065,8.4,2.58
13067,2208.5,2.61
13069,72.7,2.68
